SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
31603,"Brown Trout Regional Monthly Wall Calendar, 12"" x 12"", Oregon Coast, January To December 2021","Add beauty to your scheduling with this Brown Trout Regional Monthly Wall Calendar. The lovely photographs allow you to show off your favorite state or region in your home or office, while also keeping track of your appointments, deadlines and more.",<ul><li>1 page per month. Offers ample space to write down appointments and tasks.</li> <li>12 months: January to December.</li> <li>Pages are stapled together for durability.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,14.64,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30888,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", 12 Uses For a Golden, January to December 2022, 16404","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Fun photos of these lovable pups to make you laugh.</li></ul>",,WILLOW CREEK PRESS,16404,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31298,"TF Publishing Mini Animal Monthly Wall Calendar, 7"" x 7"", Sloths, January To December 2021","Stay on top of your busy schedule with help from a TF Publishing Mini Animal Monthly Wall Calendar. Daily blocks make it easy to keep track of events, appointments and deadlines, while full-color photos brighten your work area.",<ul><li>1 page per month.</li> <li>Monthly grids include large daily blocks for scheduling.</li> <li>12 months: January to December.</li> <li>Includes a preview of 4 bonus months from January to April.</li> <li>Pages are securely saddle-stitched.</li></ul>,,"THE TIME FACTORY, INC.",21-2010,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31393,,,<ul></ul>,,PERFECT TIMING INC,21998011863,EA,18.55,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30048,"Blue Sky™ Monthly Wirebound Wall Calendar, 11"" x 8-3/4"", Rue Du Flore, January To December 2020, 101613","Make it easy to view your plans at a glance with this Blue Sky monthly wall calendar. The designer print accents your office décor, and the monthly pages provide plenty of space to mark down important information.",<ul><li>1 page per month. Reference calendars let you check dates quickly.</li> <li>12 months: January to December.</li> <li>Wire binding has a built-in hanging loop.</li> <li>Rue Du Flore botanical pattern creates an elegant appearance.</li></ul>,,BLUE SKY THE COLOR OF IMAGINATION LLC,101613-20,EA,13.95,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30852,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", Squirrels, January to December 2022, 19726","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Photos of these fun and furry critters on each monthly spread.</li></ul>",,WILLOW CREEK PRESS,19726,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31308,"TF Publishing Mini Inspirational Monthly Wall Calendar, 7"" x 7"", A Year Of Good Thoughts, January To December 2021","Schedule your days, weeks and months ahead while also feeling motivated with the TF Publishing Mini Inspirational Monthly Wall Calendar. Each spread covers 1 month, so you can keep track of important deadlines, reminders and appointments.",<ul><li>1 page per month.</li> <li>12 months: January to December.</li> <li>Pages are saddle stitched together.</li> <li>Features 13 full-color images.</li> <li>Boasts a 4-month view of January to April 2022.</li> <li>Calendar is printed on premium gloss paper.</li></ul>,,"THE TIME FACTORY, INC.",21-2066,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32450,"Lang Artisan Spiral Monthly Calendar, 12-3/8” x 13-3/4”, Bloom, January To December 2022, 229990340","Stay on track this year with your Lang Artisan spiral monthly calendar. Each calendar includes spacious daily blocks for planning appointments, events and other activities.",<ul><li>1 page per month with spacious daily blocks.</li> <li>Premium cotton-blend paper with a matching gift jacket.</li> <li>12 months: January to December.</li> <li>Spiral-bound for lasting durability.</li> <li>Built-in hanger with reinforcements for hanging anywhere.</li></ul>,,PERFECT TIMING INC,22999034002,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30426,"Willow Creek Press Sports Monthly Wall Calendar, 12"" x 12"", Life In The Northwoods, January To December 2022",Keep up with your busy schedule using this Willow Creek Press wall calendar. A vivid image is displayed each month that helps transport you out of the office and into your favorite activities.,"<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Wrapped in protective shrink wrap.</li></ul>",,WILLOW CREEK PRESS,18675,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30898,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", Animal Adventures, January to December 2022, 16633","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Fun animal scenes created by Karen Burke accompany each monthly grid.</li></ul>",,WILLOW CREEK PRESS,16633,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30140,"Mead® Golden Retrievers Monthly Wall Calendar, 12"" x 12"", January to December 2020, ODE322-10","Enjoy the whimsy of man’s best friend every day of the year. When you hang this wall calendar in your office or home, you'll be delighted by the adorable poses of each pooch while you make your schedule.",<ul><li>1 page per month. Features a reference calendar for long-term planning.</li> <li>12 months: January to December. Also includes a page with 4 planning grids for September through December of the previous year.</li> <li>Pages are stapled together.</li> <li>Glossy paper creates a stunning display for the images and can be easily written on with pen or pencil.</li></ul>,,"ACCO BRANDS USA, LLC",ODE322-1020,EA,0.01,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32191,"Brown Trout Monthly Regional Wall Calendar, 24"" x 12"", Texas Nature, January to December 2022, 9781975439606","Brighten up your work space with the beautiful Brown Trout Monthly Regional Wall Calendar. Spacious daily blocks have plenty of room for appointment times, to-do's, reminders and events.",<ul><li>1 page per month. Daily blocks offer space to plan.</li> <li>12 months: January to December.</li> <li>Pages are securely stapled.</li> <li>Beautiful images of scenic Texas accompany each monthly grid.</li> <li>Includes a bonus page with September to December of 2021.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31078,"Graphique Inspirational Mini Monthly Calendar, 7"" x 7"", Calm, January To December 2022","Feel inspired while scheduling your days, weeks and months with this Graphique Mini Calendar. The compact size fits comfortably in your space and is decorated with stunning images to help motivate you.",<ul><li>12 months: January to February. Also includes a 4-month preview page.</li> <li>Features public and culturally significant holidays.</li> <li>Pages are stapled together.</li></ul>,,GRAPHIQUE DE FRANCE,MY00622,EA,,* Calm design,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31555,"Brown Trout Regional Monthly Wall Calendar, 12"" x 12"", America, January To December 2021","Add beauty to your scheduling with this Brown Trout Regional Monthly Wall Calendar. The lovely photographs allow you to show off your favorite state or region in your home or office, while also keeping track of your appointments, deadlines and more.",<ul><li>1 page per month. Offers ample space to write down appointments and tasks.</li> <li>12 months: January to December.</li> <li>Pages are stapled together for durability.</li> <li>Features outstanding images of what makes America so beautiful.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,15.67,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30323,"Willow Creek Press Scenic Monthly Wall Calendar, 12"" x 12"", FSC® Certified, National Parks Of The West, January to December 2021, 12703","12 high-quality, full-color images make these Wall Calendars the best around.","<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Protective shrinkwrap</li> <li>Full-color photos of beautiful National Parks west of the Rockies accompany each monthly grid.</li> <li>Eco-conscious choice — has one or more meaningful eco-attributes or eco-labels.</li></ul>",,WILLOW CREEK PRESS,12703,EA,15.61,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31889,"TF Publishing Scenic Wall Calendar, 12"" x 12"", Sunsets, January To December 2022","Mark down important dates and events with the TF Publishing scenic wall calendar. It features a variety of photographs, illustrations, and typographic elements that give each and every month a unique feel.",<ul><li>1 page per month.</li> <li>12 months: January to December. Contains a bonus 4-month spread from January to April.</li> <li>Printed on premium paper with saddle-stitched binding for durability.</li></ul>,,"THE TIME FACTORY, INC.",22-1095,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32165,"Brown Trout Monthly Regional Wall Calendar, 24"" x 12"", Wild & Scenic Massachusetts, January to December 2022, 9781975439125","Brighten up your work space with the beautiful Brown Trout Monthly Regional Wall Calendar. Spacious daily blocks have plenty of room for appointment times, to-do's, reminders and events.",<ul><li>1 page per month. Daily blocks offer space to plan.</li> <li>12 months: January to December.</li> <li>Pages are securely stapled.</li> <li>Offers images of wildlife and famous sights from around the state.</li> <li>Includes a bonus page with September to December of 2021.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32151,"Brown Trout Monthly Regional Wall Calendar, 24"" x 12"", Florida Nature, January to December 2022, 9781975438708","Brighten up your work space with the beautiful Brown Trout Monthly Regional Wall Calendar. Spacious daily blocks have plenty of room for appointment times, to-do's, reminders and events.",<ul><li>1 page per month. Daily blocks offer space to plan.</li> <li>12 months: January to December.</li> <li>Pages are securely stapled.</li> <li>Beautiful images of the wildlife found around the state.</li> <li>Includes a bonus page with September to December of 2021.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30601,"Willow Creek Press Animals Monthly Wall Calendar, Shih Tzu Puppies, 12"" x 12"", January To December 2021","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Includes 12 stunning images of Shih Tzu puppies.</li></ul>",,WILLOW CREEK PRESS,13311,EA,14.32,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30158,"Mead® European Destinations Monthly Wall Calendar, 12"" x 12"", January To December 2020, ODE21810",This beautiful calendar from Mead captures popular European travel destinations in vivid color. Put this calendar on display in your workspace to stay up-to-date and enjoy the view.,<ul><li>1 month per page. </li> <li>Jot down reminder or notes in the large calendar blocks.</li> <li>12 months: January to December. Also features an extra page with 4 calendar grids for September to December of the previous year.</li> <li>Printed on glossy paper stock. Pages are securely stapled.</li></ul>,,"ACCO BRANDS USA, LLC",ODE2181020,EA,0.01,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31466,,,<ul></ul>,,PERFECT TIMING INC,21998011939,EA,17.15,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30022,"Emily Ley Simplified® Monthly Academic Wall Calendar, 11"" x 8-1/2"", Pink Stripe, July 2019 To June 2020","Make the most of your time with this wall calendar. Designed to inspire busy women to declutter, stay organized and create, the Simplified monthly calendar provides ample space to lay out important events, reminders and more.","<ul><li>Yearly calendar includes 1 page per month with printed holidays. Unruled daily blocks provide ample writing space, and simplicity tips on each page offer ideas on how you can better organize your schedule.</li> <li>12 months: July to June. Academic format makes it easy for parents, teachers, administrators and other individuals to plan during the school year.</li> <li>Stripe design with foil accents complements your existing décor.</li> <li>Wire binding across the top includes a loop for easy hanging on your wall.</li></ul>",,"ACCO BRANDS USA, LLC",EL200-709A-20,EA,0.01,* Make the most of your time * Simplified by Emily Ley * 1 page per month Office Depot planners FORAY pens Sticky notes,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32073,"Lang Turner Licensing Monthly Wall Calendar, 12"" x 24"", Denver Broncos, January To December 2022","Show off your sports fandom with a Lang Turner Licensing monthly wall calendar. Each calendar features detailed full-color photos of your favorite players, teams and stadiums to brighten your workspace each month.",<ul><li>1 page per day with spacious daily blocks.</li> <li>12 months: January to December.</li> <li>Bonus page features September – December.</li> <li>Stapled binding for year-long durability.</li></ul>,,PERFECT TIMING INC,22998011908,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
